@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
8.62,3.88,443.38,E,635,91.18,1282.8,1,7000,100000,'Центр города',1,0,12.8,50,616.82,500000,Элитный,1
179.08,8.91,2646,D,64,0,19473.87,6.81,55000,10000,'Фешенебельный район',2,0,14.06,50,312.48,100,Элитный,2
179.08,8.91,2646,D,64,0,19473.87,6.81,62000,10000,'Центр города',4,5.8,16.73,50,675.8,10000,Высокий,2
18.08,6.32,264.05,E,17798,99.86,9569.41,1,40000,100000,'Центр города',1,0,26.36,50,484.36,500000,Элитный,1
24.5,8.82,380.2,E,88782,93.12,11212.61,1,35000,100000,'Центр города',7,3.77,23.21,1000,339.11,100000,'Очень высокий',5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,37500,100000,'Фешенебельный район',3,3.77,23.41,1000,331.57,10000,Элитный,5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,45000,100000,'Фешенебельный район',2,3.34,20.67,2000,463.37,50000,Элитный,5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,70000,100000,'Центр города',4,0,15.78,50,341.45,100000,'Очень высокий',5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,75000,100000,'Фешенебельный район',5,0,19.58,50,341.08,10000,Элитный,5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,35000,100000,'Центр города',5,0,18.65,500,234.28,50000,Высокий,5
24.5,8.82,380.2,E,88782,93.12,11212.61,1,41600,100000,'Центр города',2,0,17.57,500,342.12,100000,Высокий,5
20.05,7.35,404.84,E,28245,99.45,8690.71,1,21530,100000,'Центр города',7,3.77,23.18,100,384.67,100000,'Очень высокий',2
20.05,7.35,404.84,E,28245,99.45,8690.71,1,35000,10000,'Центр города',4,0.78,12.14,50,255.37,5000,Элитный,2
15.69,3.48,115.97,E,76478,99.97,5092.25,1,19000,100000,'Центр города',1,0.81,26.39,50,497.25,500000,'Очень высокий',1
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,85000,100000,'Центр города',1,3.96,27.9,2000,515.34,500000,'Очень высокий',5
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,65500,100000,'Центр города',3,3.34,23.22,2000,310.52,100000,Элитный,5
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,99999,100000,'Центр города',1,0,18.25,50,558.88,1000000,Высокий,5
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,90000,100000,'Центр города',1,0,29.53,100,546.19,1000000,Нормальный,5
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,49999,100000,'Центр города',7,0,18.65,500,386.79,200000,Нормальный,5
39.69,7.83,1612.96,E,69046,91.81,22338.06,1,50436.42,10000,'Центр города',1,0,11.13,50,117.86,5000,Элитный,5
33.1,7.99,1410,E,14003,99.5,14505.92,1,36000,10000,'Центр города',3,0,7.98,50,323.42,10000,Элитный,2
33.1,7.99,1410,E,14003,99.5,14505.92,1,40000,100000,'Центр города',7,0,11.27,50,417.1,100000,Высокий,2
32.51,8.08,1107.73,E,14524,99.93,19415.06,1,62000,100000,'Фешенебельный район',1,0,13.23,500,514.55,50000,Элитный,1
32.51,8.08,1107.73,E,14524,99.93,19415.06,1,22000,1000,'Центр города',2,0,7.98,50,239.88,2000,Высокий,1
35.35,7.43,1208.9,E,19170,93.35,21643.31,1,50000,10000,'Центр города',2,3.81,16.71,200,393.46,10000,'Очень высокий',2
20.11,7.94,377.59,E,25871,99.23,14430.86,1,70000,100000,'Фешенебельный район',6,0,10.43,50,434.06,20000,Элитный,4
20.11,7.94,377.59,E,25871,99.23,14430.86,1,44444,10000,'Центр города',1,4.17,11.63,100,395.16,20000,Элитный,4
28.05,8.22,1425,E,5803,99.83,13163.96,1,32000,10000,'Центр города',3,0,7.98,50,338.66,10000,Элитный,1
17.41,6,348.16,E,4181,82.73,2424.94,1.11,11000,100000,'Центр города',2,3.64,32.98,500,521.63,200000,Элитный,2
17.41,6,348.16,E,4181,82.73,2424.94,1.11,14000,100000,'Центр города',6,5.42,23.25,200,376.34,50000,Элитный,2
17.25,5.6,385.2,E,3260,95.37,7003.96,1,40000,100000,'Центр города',2,5.39,20.57,100,629.51,500000,Высокий,1
16.53,5.3,348.38,E,1557,87.6,2399.04,1.03,15500,100000,'Центр города',2,5.42,23,100,596.72,500000,Нормальный,1
16.89,7.53,602.25,E,5397,98.7,11450.32,1,50000,100000,'Центр города',2,0,26.36,50,513.71,200000,Элитный,1
21.57,6.15,330,E,8820,99.98,9234.22,1,40000,100000,'Центр города',2,0,26.36,50,539.27,500000,'Очень высокий',1
